25381,D,27231
27231,D,17882
17882,D,5720
5720,A,8185
8185,A,26446
26446,A,15528
15528,D,18103
18103,D,5246
5246,D,6502
6502,A,16305
16305,A,7148
7148,A,29036
29036,D,2756
2756,D,28262
28262,A,32189
32189,A,20209
20209,A,2891
2891,D,9222
9222,A,29647
29647,A,13679
13679,A,21087
21087,D,6372
6372,A,4957
4957,A,18542
18542,A,2153
2153,A,17553
17553,A,6423
6423,A,5793
5793,D,23923
23923,D,16404
16404,D,18363
18363,D,2051
2051,D,30422
30422,D,14364
14364,D,2576
2576,D,13017
13017,B,2588
2588,C,2374
2374,D,26503
26503,A,24996
24996,A,4071
4071,A,25332
25332,D,11885
11885,D,15734
15734,D,22595
22595,D,5010
5010,A,7272
7272,A,5037
5037,A,19788
19788,A,6284
6284,A,10917
10917,A,8460
8460,B,1611
1611,C,17784
17784,D,7378
7378,A,9210
9210,A,20401
20401,A,2025
2025,A,16324
16324,A,2492
2492,A,25571
25571,B,23792
23792,C,7874
7874,B,8419
8419,C,12361
12361,A,3540
3540,A,12403
12403,A,20327
20327,D,21091
21091,D,27723
27723,A,3079
3079,A,16150
16150,A,2338
2338,D,26978
26978,A,27345
27345,A,24600
24600,A,7040
7040,D,23082
23082,D,9071
9071,A,9164
9164,A,5022
5022,A,3290
3290,B,24181
24181,C,7592
7592,D,22601
22601,D,20777
20777,D,11461
11461,A,9451
9451,A,15464
15464,A,9089
9089,D,6727
6727,D,10352
10352,D,10876
10876,D,11032
11032,D,20589
20589,A,25693
25693,A,9714
9714,A,28736
28736,D,9892
9892,D,27144
27144,B,2894
2894,C,3427
3427,D,7730
7730,D,8236
8236,D,8882
8882,D,17199
17199,D,11375
11375,A,25023
25023,A,23705
23705,A,21457
21457,D,8044
8044,D,24537
24537,D,16542
16542,D,27108
27108,A,3803
3803,A,12686
12686,A,24508
24508,D,18250
18250,D,10249
10249,B,22129
22129,C,27365
27365,B,1925
1925,C,16761
16761,D,21763
21763,B,2980
2980,C,3380
3380,D,6123
6123,D,20173
20173,A,25399
25399,A,27129
27129,A,10491
10491,D,27611
27611,B,1339
1339,A,22199
22199,A,14279
14279,A,24552
24552,D,18659
18659,A,11301
11301,A,30337
30337,A,5795
5795,D,14918
14918,D,12727
12727,D,23239
23239,A,6225
6225,A,26221
26221,A,3854
3854,D,9773
9773,A,11426
11426,A,14372
14372,A,5917
5917,A,19009
19009,A,23658
23658,A,15441
15441,A,28418
28418,A,2768
2768,A,30983
30983,D,3594
3594,B,29031
29031,C,16743
16743,D,24873
24873,D,17658
17658,A,24738
24738,A,18545
18545,A,14395
14395,D,17598
17598,D,28364
28364,D,7534
7534,D,14886
14886,D,14700
14700,A,8980
8980,A,5738
5738,A,6629
6629,A,21908
21908,A,5135
5135,A,12796
12796,D,15042
15042,A,22224
22224,A,9092
9092,A,13256
13256,D,19573
19573,D,26906
26906,D,27420
27420,A,13758
13758,A,17061
17061,A,10482
10482,A,11357
11357,A,17544
17544,A,27767
27767,D,2835
2835,D,10633
10633,D,26653
26653,A,19777
19777,A,32475
32475,A,11730
11730,A,34096
34096,A,11155
11155,A,18412
